"timeid","DFG_year","plot_id","var","rep","nitrogen","appl","TT","trait","group","g","trt","part","BBCH","Trait","Das","Acc_Radiation","namCombine"
"Early","DFG2019",47,"Capone","2","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,3.19,189,1189.29348,"LAI"
"Early","DFG2019",46,"Apertus","2","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,2.49,189,1189.29348,"LAI"
"Early","DFG2019",67,"Capone","3","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,1.87,189,1189.29348,"LAI"
"Early","DFG2019",3,"Apertus","1","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,2.7,189,1189.29348,"LAI"
"Early","DFG2019",50,"Apertus","2","220","Combined",1197.65,"LAI","2019-05-02","Combined_220_Early","Combined 220",NA,NA,3.02,189,1189.29348,"LAI"
"Early","DFG2019",5,"Apertus","1","176","Split",1197.65,"LAI","2019-05-02","Split_176_Early","Split 176",NA,NA,3.27,189,1189.29348,"LAI"
"Early","DFG2019",55,"Capone","2","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.9,189,1189.29348,"LAI"
"Early","DFG2019",31,"Pionier","1","220","Split",1197.65,"LAI","2019-05-02","Split_220_Early","Split 220",NA,NA,3.36,189,1189.29348,"LAI"
"Early","DFG2019",56,"Pionier","2","176","Combined",1197.65,"LAI","2019-05-02","Combined_176_Early","Combined 176",NA,NA,2.61,189,1189.29348,"LAI"
"Late","DFG2019",64,"Capone","2","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.02,175,1132.42104,"LAI"
"Late","DFG2019",35,"Patras","2","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.84,175,1132.42104,"LAI"
"Late","DFG2019",24,"Apertus","1","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.39,175,1132.42104,"LAI"
"Late","DFG2019",14,"Pionier","1","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,3.43,175,1132.42104,"LAI"
"Late","DFG2019",44,"Capone","2","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.68,175,1132.42104,"LAI"
"Late","DFG2019",9,"Pionier","1","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,3.58,175,1132.42104,"LAI"
"Late","DFG2019",60,"Patras","2","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.62,175,1132.42104,"LAI"
"Late","DFG2019",34,"Pionier","2","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,3.56,175,1132.42104,"LAI"
"Late","DFG2019",15,"Apertus","1","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.39,175,1132.42104,"LAI"
"Late","DFG2019",71,"Pionier","3","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.06,175,1132.42104,"LAI"
"Late","DFG2019",95,"Patras","3","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.26,175,1132.42104,"LAI"
"Late","DFG2019",62,"Pionier","2","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.31,175,1132.42104,"LAI"
"Late","DFG2019",85,"Pionier","3","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.59,175,1132.42104,"LAI"
"Late","DFG2019",80,"Patras","3","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,1.87,175,1132.42104,"LAI"
"Late","DFG2019",10,"Apertus","1","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,3.16,175,1132.42104,"LAI"
"Late","DFG2019",96,"Capone","3","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,1.99,175,1132.42104,"LAI"
"Late","DFG2019",86,"Patras","3","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.59,175,1132.42104,"LAI"
"Late","DFG2019",93,"Apertus","3","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.19,175,1132.42104,"LAI"
"Late","DFG2019",18,"Patras","1","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.69,175,1132.42104,"LAI"
"Late","DFG2019",36,"Capone","2","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.87,175,1132.42104,"LAI"
"Late","DFG2019",72,"Patras","3","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,1.92,175,1132.42104,"LAI"
"Late","DFG2019",42,"Pionier","2","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,3.01,175,1132.42104,"LAI"
"Late","DFG2019",61,"Apertus","2","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,3.13,175,1132.42104,"LAI"
"Late","DFG2019",16,"Patras","1","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.68,175,1132.42104,"LAI"
"Late","DFG2019",41,"Patras","2","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.84,175,1132.42104,"LAI"
"Late","DFG2019",21,"Capone","1","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,1.71,175,1132.42104,"LAI"
"Late","DFG2019",70,"Apertus","3","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.76,175,1132.42104,"LAI"
"Late","DFG2019",23,"Pionier","1","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.18,175,1132.42104,"LAI"
"Late","DFG2019",20,"Pionier","1","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,3.38,175,1132.42104,"LAI"
"Late","DFG2019",94,"Pionier","3","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,2.38,175,1132.42104,"LAI"
"Late","DFG2019",13,"Capone","1","220","Combined",1083.45416666667,"LAI","2019-05-02","Combined_220_Late","Combined 220",NA,NA,2.32,175,1132.42104,"LAI"
"Late","DFG2019",58,"Apertus","2","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.54,175,1132.42104,"LAI"
"Late","DFG2019",78,"Apertus","3","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.16,175,1132.42104,"LAI"
"Late","DFG2019",88,"Apertus","3","220","Split",1083.45416666667,"LAI","2019-05-02","Split_220_Late","Split 220",NA,NA,2.42,175,1132.42104,"LAI"
"Late","DFG2019",43,"Apertus","2","176","Split",1083.45416666667,"LAI","2019-05-02","Split_176_Late","Split 176",NA,NA,3.18,175,1132.42104,"LAI"
"Late","DFG2019",57,"Capone","2","176","Combined",1083.45416666667,"LAI","2019-05-02","Combined_176_Late","Combined 176",NA,NA,2.01,175,1132.42104,"LAI"
