plot_id,var,rep,nitrogen,appl,timeid
1,Pionier,1,220,Combined,Early
2,Capone,1,220,Combined,Early
3,Apertus,1,220,Combined,Early
4,Patras,1,220,Combined,Early
5,Apertus,1,176,Split,Early
6,Pionier,1,176,Split,Early
7,Capone,1,176,Split,Early
8,Patras,1,176,Split,Early
9,Pionier,1,176,Split,Late
10,Apertus,1,176,Split,Late
11,Capone,1,176,Split,Late
12,Patras,1,176,Split,Late
13,Capone,1,220,Combined,Late
14,Pionier,1,220,Combined,Late
15,Apertus,1,220,Combined,Late
16,Patras,1,220,Combined,Late
17,Apertus,1,220,Split,Late
18,Patras,1,220,Split,Late
19,Capone,1,220,Split,Late
20,Pionier,1,220,Split,Late
21,Capone,1,176,Combined,Late
22,Patras,1,176,Combined,Late
23,Pionier,1,176,Combined,Late
24,Apertus,1,176,Combined,Late
25,Capone,1,176,Combined,Early
26,Patras,1,176,Combined,Early
27,Apertus,1,176,Combined,Early
28,Pionier,1,176,Combined,Early
29,Apertus,1,220,Split,Early
30,Patras,1,220,Split,Early
31,Pionier,1,220,Split,Early
32,Capone,1,220,Split,Early
33,Apertus,2,220,Split,Late
34,Pionier,2,220,Split,Late
35,Patras,2,220,Split,Late
36,Capone,2,220,Split,Late
37,Pionier,2,176,Split,Early
38,Capone,2,176,Split,Early
39,Patras,2,176,Split,Early
40,Apertus,2,176,Split,Early
41,Patras,2,176,Split,Late
42,Pionier,2,176,Split,Late
43,Apertus,2,176,Split,Late
44,Capone,2,176,Split,Late
45,Pionier,2,220,Split,Early
46,Apertus,2,220,Split,Early
47,Capone,2,220,Split,Early
48,Patras,2,220,Split,Early
49,Pionier,2,220,Combined,Early
50,Apertus,2,220,Combined,Early
51,Capone,2,220,Combined,Early
52,Patras,2,220,Combined,Early
53,Apertus,2,176,Combined,Early
54,Patras,2,176,Combined,Early
55,Capone,2,176,Combined,Early
56,Pionier,2,176,Combined,Early
57,Capone,2,176,Combined,Late
58,Apertus,2,176,Combined,Late
59,Pionier,2,176,Combined,Late
60,Patras,2,176,Combined,Late
61,Apertus,2,220,Combined,Late
62,Pionier,2,220,Combined,Late
63,Patras,2,220,Combined,Late
64,Capone,2,220,Combined,Late
65,Pionier,3,176,Combined,Early
66,Apertus,3,176,Combined,Early
67,Capone,3,176,Combined,Early
68,Patras,3,176,Combined,Early
69,Capone,3,220,Combined,Late
70,Apertus,3,220,Combined,Late
71,Pionier,3,220,Combined,Late
72,Patras,3,220,Combined,Late
73,Capone,3,220,Combined,Early
74,Patras,3,220,Combined,Early
75,Pionier,3,220,Combined,Early
76,Apertus,3,220,Combined,Early
77,Pionier,3,176,Combined,Late
78,Apertus,3,176,Combined,Late
79,Capone,3,176,Combined,Late
80,Patras,3,176,Combined,Late
81,Apertus,3,176,Split,Early
82,Pionier,3,176,Split,Early
83,Patras,3,176,Split,Early
84,Capone,3,176,Split,Early
85,Pionier,3,220,Split,Late
86,Patras,3,220,Split,Late
87,Capone,3,220,Split,Late
88,Apertus,3,220,Split,Late
89,Pionier,3,220,Split,Early
90,Apertus,3,220,Split,Early
91,Capone,3,220,Split,Early
92,Patras,3,220,Split,Early
93,Apertus,3,176,Split,Late
94,Pionier,3,176,Split,Late
95,Patras,3,176,Split,Late
96,Capone,3,176,Split,Late
