"Year","Date","depth","humidity"
"2019",2019-04-05,"m30",27.4006216555556
"2019",2019-04-05,"m60",28.53098325
"2019",2019-04-05,"m100",30.3912655240741
"2019",2019-04-06,"m30",27.0453616712963
"2019",2019-04-06,"m60",28.2875518966049
"2019",2019-04-06,"m100",30.1984881550926
"2019",2019-04-07,"m30",26.690101687037
"2019",2019-04-07,"m60",28.0441205432099
"2019",2019-04-07,"m100",30.0057107861111
"2019",2019-04-08,"m30",26.3348417027778
"2019",2019-04-08,"m60",27.8006891898148
"2019",2019-04-08,"m100",29.8129334171296
"2019",2019-04-09,"m30",25.9795817185185
"2019",2019-04-09,"m60",27.5572578364198
"2019",2019-04-09,"m100",29.6201560481481
"2019",2019-04-10,"m30",25.6243217342593
"2019",2019-04-10,"m60",27.3138264830247
"2019",2019-04-10,"m100",29.4273786791667
"2019",2019-04-11,"m30",25.26906175
"2019",2019-04-11,"m60",27.0703951296296
"2019",2019-04-11,"m100",29.2346013101852
"2019",2019-04-12,"m30",25.1624352619048
"2019",2019-04-12,"m60",26.9926224037698
"2019",2019-04-12,"m100",29.1519940181878
"2019",2019-04-13,"m30",25.0558087738095
"2019",2019-04-13,"m60",26.9148496779101
"2019",2019-04-13,"m100",29.0693867261905
"2019",2019-04-14,"m30",24.9491822857143
"2019",2019-04-14,"m60",26.8370769520503
"2019",2019-04-14,"m100",28.9867794341931
"2019",2019-04-15,"m30",24.842555797619
"2019",2019-04-15,"m60",26.7593042261905
"2019",2019-04-15,"m100",28.9041721421958
"2019",2019-04-16,"m30",24.7359293095238
"2019",2019-04-16,"m60",26.6815315003307
"2019",2019-04-16,"m100",28.8215648501984
"2019",2019-04-17,"m30",24.6293028214286
"2019",2019-04-17,"m60",26.6037587744709
"2019",2019-04-17,"m100",28.7389575582011
"2019",2019-04-18,"m30",24.5226763333333
"2019",2019-04-18,"m60",26.5259860486111
"2019",2019-04-18,"m100",28.6563502662037
"2019",2019-04-19,"m30",24.1411299219577
"2019",2019-04-19,"m60",26.5226402123016
"2019",2019-04-19,"m100",28.7311042149471
"2019",2019-04-20,"m30",23.759583510582
"2019",2019-04-20,"m60",26.5192943759921
"2019",2019-04-20,"m100",28.8058581636905
"2019",2019-04-21,"m30",23.3780370992063
"2019",2019-04-21,"m60",26.5159485396825
"2019",2019-04-21,"m100",28.8806121124339
"2019",2019-04-22,"m30",22.9964906878307
"2019",2019-04-22,"m60",26.512602703373
"2019",2019-04-22,"m100",28.9553660611773
"2019",2019-04-23,"m30",22.614944276455
"2019",2019-04-23,"m60",26.5092568670635
"2019",2019-04-23,"m100",29.0301200099206
"2019",2019-04-24,"m30",22.2333978650794
"2019",2019-04-24,"m60",26.505911030754
"2019",2019-04-24,"m100",29.104873958664
"2019",2019-04-25,"m30",21.8518514537037
"2019",2019-04-25,"m60",26.5025651944444
"2019",2019-04-25,"m100",29.1796279074074
"2019",2019-04-26,"m30",21.8091560153356
"2019",2019-04-26,"m60",26.472912375
"2019",2019-04-26,"m100",29.2353775808738
"2019",2019-04-27,"m30",21.7664605769676
"2019",2019-04-27,"m60",26.4432595555556
"2019",2019-04-27,"m100",29.2911272543403
